zone,width,height,agents,seed,astar_nodes,astar_time_ms,astar_makespan,astar_soc,pibt_time_ms,pibt_makespan,pibt_soc,makespan_ratio,soc_ratio
3x3_2agents,3,3,2,1,10,0.655709,3,6,0.101708,3,5,1,0.833333
3x3_2agents,3,3,2,2,16,0.868792,3,5,0.071167,3,4,1,0.8
3x3_2agents,3,3,2,3,26,1.29829,4,8,0.076291,4,5,1,0.625
3x3_2agents,3,3,2,4,5,0.32875,2,2,0.058833,2,2,1,1
3x3_2agents,3,3,2,5,6,0.311167,2,4,0.058209,2,3,1,0.75
3x3_2agents,3,3,2,6,16,0.8615,3,6,0.063709,3,4,1,0.666667
3x3_2agents,3,3,2,7,6,0.352833,2,2,0.069208,2,2,1,1
3x3_2agents,3,3,2,8,6,0.349833,2,4,0.057791,2,3,1,0.75
3x3_2agents,3,3,2,9,14,0.762125,3,5,0.065708,3,4,1,0.8
3x3_2agents,3,3,2,10,34,1.69529,4,8,0.0735,4,4,1,0.5
3x3_2agents,3,3,2,11,5,0.268666,2,4,0.059083,2,3,1,0.75
3x3_2agents,3,3,2,12,16,0.8635,3,5,0.067917,3,4,1,0.8
3x3_2agents,3,3,2,13,8,0.44175,2,2,0.062291,2,2,1,1
3x3_2agents,3,3,2,14,21,1.10546,4,7,0.074,4,7,1,1
3x3_2agents,3,3,2,15,15,0.808083,3,6,0.06375,3,4,1,0.666667
3x3_2agents,3,3,2,16,5,0.324625,2,4,0.073167,4,8,2,2
3x3_2agents,3,3,2,17,29,1.53329,4,8,0.076792,4,6,1,0.75
3x3_2agents,3,3,2,18,2,0.105792,1,1,0.050291,1,1,1,1
3x3_2agents,3,3,2,19,9,0.4625,3,6,0.06525,3,5,1,0.833333
3x3_2agents,3,3,2,20,4,0.24075,2,4,0.058833,2,4,1,1
3x3_2agents,3,3,2,21,6,0.357,2,4,0.058875,2,3,1,0.75
3x3_2agents,3,3,2,22,34,1.69379,4,8,0.073584,4,4,1,0.5
